director,genre,stars,title,year
Alfred Hitchcock,,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson",Dial M for Murder,1954
Richard Linklater,,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger",Before Sunrise,1995
Michael Cimino,,"Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep",The Deer Hunter,1978
"Pete Docter, David Silverman, Lee Unkrich",,"Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi, James Coburn","Monsters, Inc.",2001
William Wyler,,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Hugh Griffith",Ben-Hur,1959
Martin Scorsese,,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto",Raging Bull,1980
Tom McCarthy,,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery",Spotlight,2015
Bong Joon Ho,,"Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song, Byun Hee-Bong",Memories of Murder,2003
Guy Ritchie,,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh","Lock, Stock and Two Smoking Barrels",1998
Clint Eastwood,,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her, Brian Haley",Gran Torino,2008
Sean Penn,,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden, William Hurt",Into the Wild,2007
Robert Wise,,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood",The Sound of Music,1965
Martin McDonagh,,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones, Kerry Condon","Three Billboards Outside Ebbing, Missouri",2017
Lenny Abrahamson,,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster",Room,2015
