director,genre,stars,title,year
Farhan Akhtar,,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta, Sonali Kulkarni",Dil Chahta Hai,2001
Charles Chaplin,,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite",The Gold Rush,1925
Akira Kurosawa,,"Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara, Susumu Fujita",The Hidden Fortress,1958
Ashutosh Gowariker,,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley, Paul Blackthorne",Lagaan: Once Upon a Time in India,2001
Henri-Georges Clouzot,,"Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel, Jean Brochard",Diabolique,1955
"Michael Powell, Emeric Pressburger",,"Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann, Albert Bassermann",The Red Shoes,1948
Gillo Pontecorvo,,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash, Ugo Paletti",The Battle of Algiers,1966
Moustapha Akkad,,"Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka, Michael Forest",The Message,1976
Nuri Bilge Ceylan,,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan, Serhat Mustafa Kiliç",Winter Sleep,2014
Krzysztof Kieslowski,,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan",Three Colors: Red,1994
"Clyde Bruckman, Buster Keaton",,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom",The General,1926
"Hideaki Anno, Kazuya Tsurumaki",,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi, Yuriko Yamaguchi",Neon Genesis Evangelion: The End of Evangelion,1997
Thomas Vinterberg,,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen, Birthe Neumann",The Celebration,1998
William Wyler,,"Myrna Loy, Dana Andrews, Fredric March, Teresa Wright, Virginia Mayo",The Best Years of Our Lives,1946
Adam Elliot,,"Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries, Christopher Massey",Mary and Max,2009
Ingmar Bergman,,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström",Persona,1966
Carol Reed,,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard, Paul Hörbiger",The Third Man,1949
Elia Kazan,,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning",On the Waterfront,1954
Terry George,,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali, Desmond Dube",Hotel Rwanda,2004
Alejandro G. Iñárritu,,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche",Amores Perros,2000
Jim Sheridan,,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King, Emma Thompson",In the Name of the Father,1993
John Ford,,"James Stewart, John Wayne, Vera Miles, Lee Marvin, Edmond O'Brien",The Man Who Shot Liberty Valance,1962
David Lean,,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald",The Bridge on the River Kwai,1957
Lewis Milestone,,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy, Ben Alexander",All Quiet on the Western Front,1930
Brad Bird,,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel, James Gammon",The Iron Giant,1999
Ingmar Bergman,,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Bibi Andersson",The Seventh Seal,1957
Alfred Hitchcock,,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce",Rebecca,1940
Richard Linklater,,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly",Before Sunset,2004
Wim Wenders,,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry, Bernhard Wicki","Paris, Texas",1984
Sidney Lumet,,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall, Wesley Addy",Network,1976
Lasse Hallström,,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander",Hachi: A Dog's Tale,2009
Damián Szifron,,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta, Marcelo Frasca",Wild Tales,2014
Mathieu Kassovitz,,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo",La haine,1995
Kar-Wai Wong,,"Tony Leung Chiu-wai, Maggie Cheung, Siu Ping-Lam, Tung Cho 'Joe' Cheung, Rebecca Pan",In the Mood for Love,2000
Naoko Yamada,,"Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono, Yûki Kaneko",A Silent Voice: The Movie,2016
Hayao Miyazaki,,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto",My Neighbor Totoro,1988
Clint Eastwood,,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel, Mike Colter",Million Dollar Baby,2004
Ron Howard,,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino",Rush,2013
Stanley Kubrick,,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff",Barry Lyndon,1975
Céline Sciamma,,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras",Portrait of a Lady on Fire,2019
Steve McQueen,,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt, Dwight Henry",12 Years a Slave,2013
Oliver Stone,,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David, Forest Whitaker",Platoon,1986
Mel Gibson,,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, Richard Pyros",Hacksaw Ridge,2016
"Dean DeBlois, Chris Sanders",,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson, America Ferrera",How to Train Your Dragon,2010
Stuart Rosenberg,,"Paul Newman, George Kennedy, Strother Martin, J.D. Cannon, Lou Antonio",Cool Hand Luke,1967
Park Chan-wook,,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Tae-ri",The Handmaiden,2016
"Brad Bird, Jan Pinkava",,"Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm, Brian Dennehy",Ratatouille,2007
James Mangold,,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas",Ford v Ferrari,2019
Steven Spielberg,,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye",Catch Me If You Can,2002
James Cameron,,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, Lance Henriksen",The Terminator,1984
David Fincher,,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon",Gone Girl,2014
John G. Avildsen,,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith",Rocky,1976
Rob Reiner,,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland",Stand by Me,1986
David Yates,,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, Ralph Fiennes",Harry Potter and the Deathly Hallows: Part 2,2011
William Friedkin,,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb, Kitty Winn",The Exorcist,1973
Ridley Scott,,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh",Blade Runner,1982
Wes Anderson,,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe",The Grand Budapest Hotel,2014
George Miller,,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Hugh Keays-Byrne",Mad Max: Fury Road,2015
Gore Verbinski,,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport",Pirates of the Caribbean: The Curse of the Black Pearl,2003
Tate Taylor,,"Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard, Jessica Chastain",The Help,2011
"Joel Coen, Ethan Coen",,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston",The Big Lebowski,1998
Denis Villeneuve,,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, Maria Bello",Prisoners,2013
Rakeysh Omprakash Mehra,,"Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra, Yograj Singh",Bhaag Milkha Bhaag,2013
Tigmanshu Dhulia,,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya, Navneet Gairola",Paan Singh Tomar,2012
Aditya Dhar,,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam, Kirti Kulhari",Uri: The Surgical Strike,2019
Vittorio De Sica,,"Carlo Battisti, Maria Pia Casilio, Lina Gennari, Ileana Simova, Elena Rea",Umberto D.,1952
Ernst Lubitsch,,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart, Lionel Atwill",To Be or Not to Be,1942
"Gayatri, Pushkar, Gowtham Selvaraj",,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir, Varalaxmi Sarathkumar",Vikram Vedha,2017
Anurag Kashyap,,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen",Gangs of Wasseypur,2012
"Rahi Anil Barve, Anand Gandhi, Adesh Prasad",,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty, Deepak Damle",Tumbbad,2018
Buster Keaton,,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane",Sherlock Jr.,1924
S.S. Rajamouli,,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj",Baahubali 2: The Conclusion,2017
Sergio Leone,,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp, Luigi Pistilli",For a Few Dollars More,1965
John Sturges,,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson, James Donald",The Great Escape,1963
Juan José Campanella,,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, Javier Godino",The Secret in Their Eyes,2009
Akira Kurosawa,,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada",Ran,1985
David Lynch,,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller",The Elephant Man,1980
Billy Wilder,,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien",Some Like It Hot,1959
Haruo Sotozaki,,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono, Satoshi Hino",Demon Slayer the Movie: Mugen Train,2020
Oliver Hirschbiegel,,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler, Corinna Harfouch",Downfall,2004
"Terry Gilliam, Terry Jones",,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones",Monty Python and the Holy Grail,1975
Gavin O'Connor,,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison, Frank Grillo",Warrior,2011
"Victor Fleming, George Cukor, Sam Wood",,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes",Gone with the Wind,1939
Roman Polanski,,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman",Chinatown,1974
James McTeigue,,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea, Stephen Fry",V for Vendetta,2005
Guillermo del Toro,,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú, Doug Jones",Pan's Labyrinth,2006
Ron Howard,,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany",A Beautiful Mind,2001
Steven Spielberg,,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, John Rhys-Davies",Indiana Jones and the Last Crusade,1989
John McTiernan,,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",Die Hard,1988
Florian Zeller,,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",The Father,2020
Curtis Hanson,,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, James Cromwell",L.A. Confidential,1997
"Andrew Stanton, Lee Unkrich",,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett",Finding Nemo,2003
Clint Eastwood,,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett",Unforgiven,1992
Hayao Miyazaki,,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa, Ryunosuke Kamiki",Howl's Moving Castle,2004
Christopher Nolan,,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson, Katie Holmes",Batman Begins,2005
Paul Thomas Anderson,,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer, Matthew Braden Stringer",There Will Be Blood,2007
Guy Ritchie,,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones, Ade",Snatch,2000
Martin Scorsese,,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",Casino,1995
Prashanth Neel,,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty, Achyuth Kumar",K.G.F: Chapter 2,2022
Sam Mendes,,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Pip Carter",1917,2019
"Aamir Khan, Amole Gupte",,"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer, Tisca Chopra",Like Stars on Earth,2007
Billy Wilder,,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr, Porter Hall",Double Indemnity,1944
Vittorio De Sica,,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri, Gino Saltamerenda",Bicycle Thieves,1948
Stanley Kramer,,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, Maximilian Schell",Judgment at Nuremberg,1961
Fritz Lang,,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",M,1931
Akira Kurosawa,,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki",Ikiru,1952
Billy Wilder,,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen",The Apartment,1960
"Stanley Donen, Gene Kelly",,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell",Singin' in the Rain,1952
Rishab Shetty,,"Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda, Manasi Sudhir",Kantara,2022
Nitesh Tiwari,,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana",Dangal,2016
Asghar Farhadi,,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, Sarina Farhadi",A Separation,2011
Fritz Lang,,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp",Metropolis,1927
Hayao Miyazaki,,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup, Billy Bob Thornton",Princess Mononoke,1997
George Roy Hill,,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston",The Sting,1973
David Lean,,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif",Lawrence of Arabia,1962
Denis Villeneuve,,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel, Hussein Sami",Incendies,2010
Robert Mulligan,,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, Ruth White",To Kill a Mockingbird,1962
Alfred Hitchcock,,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones",Vertigo,1958
Lee Unkrich,,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles",Toy Story 3,2010
Alfred Hitchcock,,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll",North by Northwest,1959
Orson Welles,,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",Citizen Kane,1941
Jean-Pierre Jeunet,,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta, Serge Merlin",Amélie,2001
John Lasseter,,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",Toy Story,1995
"Pete Docter, Bob Peterson",,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson",Up,2009
Thomas Kail,,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Daveed Diggs",Hamilton,2020
Quentin Tarantino,,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi",Reservoir Dogs,1992
Richard Marquand,,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",Star Wars: Episode VI - Return of the Jedi,1983
Michel Gondry,,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne, Elijah Wood",Eternal Sunshine of the Spotless Mind,2004
Thomas Vinterberg,,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold",The Hunt,2012
Sergio Leone,,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld",Once Upon a Time in America,1984
Nadine Labaki,,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad, Fadi Yousef",Capernaum,2018
Rajkumar Hirani,,"Aamir Khan, Madhavan, Mona Singh, Kareena Kapoor, Sharman Joshi",3 Idiots,2009
Stanley Kubrick,,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Florian Henckel von Donnersmarck,,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur, Thomas Thieme",The Lives of Others,2006
Andrew Stanton,,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, MacInTalk",WALL·E,2008
Mel Gibson,,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, James Robinson",Braveheart,1995
Milos Forman,,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow",Amadeus,1984
"Anthony Russo, Joe Russo",,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson",Avengers: Infinity War,2018
Elem Klimov,,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",Come and See,1985
"Lee Unkrich, Adrian Molina",,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor",Coco,2017
Christopher Nolan,,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega",Memento,2000
Park Chan-wook,,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok, Dae-han Ji",Oldboy,2003
Christopher Nolan,,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Joseph Gordon-Levitt",The Dark Knight Rises,2012
James Cameron,,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen",Aliens,1986
Quentin Tarantino,,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",Django Unchained,2012
Steven Spielberg,,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey",Raiders of the Lost Ark,1981
Makoto Shinkai,,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki, Nobunaga Shimazaki",Your Name.,2016
Stanley Kubrick,,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson",The Shining,1980
"Bob Persichetti, Peter Ramsey, Rodney Rothman",,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry",Spider-Man: Into the Spider-Verse,2018
C. Prem Kumar,,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan, Devadarshini Chetan",96,2018
Charles Chaplin,,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",City Lights,1931
Todd Phillips,,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen",Joker,2019
Alfred Hitchcock,,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr",Rear Window,1954
Charles Chaplin,,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin",Modern Times,1936
Lokesh Kanagaraj,,"Karthi, Narain, Arjun Das, George Maryan, Harish Uthaman",Kaithi,2019
"Anthony Russo, Joe Russo",,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Avengers: Endgame,2019
Giuseppe Tornatore,,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli, Leo Gullotta",Cinema Paradiso,1988
Isao Takahata,,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara, Kôzô Hashida",Grave of the Fireflies,1988
"Olivier Nakache, Éric Toledano",,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux",The Intouchables,2011
Sergio Leone,,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards, Gabriele Ferzetti",Once Upon a Time in the West,1968
Frank Darabont,,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell",The Green Mile,1999
David Fincher,,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette",Fight Club,1999
Michael Curtiz,,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt",Casablanca,1942
Christopher Nolan,,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy",Inception,2010
Quentin Tarantino,,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth",Pulp Fiction,1994
Francis Ford Coppola,,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale",The Godfather Part II,1974
Sidney Lumet,,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",12 Angry Men,1957
Steven Spielberg,,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall",Schindler's List,1993
Peter Jackson,,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard",The Lord of the Rings: The Fellowship of the Ring,2001
Peter Jackson,,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby",The Lord of the Rings: The Return of the King,2003
Francis Ford Coppola,,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano",The Godfather,1972
Christopher Nolan,,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",The Dark Knight,2008
